SKU	ThuongHieu	GioiTinh	DanhMuc	Size	Mau	Gia	GiaGiam	SoLuong	DaBan	Image	TrangThai
MLB-POLO-BEI-L	MLB	Unisex	Áo polo	L	Be	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-BLU-L	MLB	Unisex	Áo polo	L	Xanh	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-BLK-XL	MLB	Unisex	Áo polo	XL	Đen	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-WHT-XL	MLB	Unisex	Áo polo	XL	Trắng	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-BEI-XL	MLB	Unisex	Áo polo	XL	Be	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-POLO-BLU-XL	MLB	Unisex	Áo polo	XL	Xanh	3500000	1800000	3	0	https://product.hstatic.net/1000284478/product/3ampr014n-50bks-ao-polo-mlb-monogram-overfit-new-york-yankees-1_grande.jpg	1
MLB-DRESS-BLK-S	MLB	Nữ	Váy	S	Đen	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-WHT-S	MLB	Nữ	Váy	S	Trắng	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-BEI-S	MLB	Nữ	Váy	S	Be	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-BLU-S	MLB	Nữ	Váy	S	Xanh	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-BLK-M	MLB	Nữ	Váy	M	Đen	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-WHT-M	MLB	Nữ	Váy	M	Trắng	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-BEI-M	MLB	Nữ	Váy	M	Be	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-BLU-M	MLB	Nữ	Váy	M	Xanh	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-BLK-L	MLB	Nữ	Váy	L	Đen	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-WHT-L	MLB	Nữ	Váy	L	Trắng	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-BEI-L	MLB	Nữ	Váy	L	Be	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-BLU-L	MLB	Nữ	Váy	L	Xanh	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-BLK-XL	MLB	Nữ	Váy	XL	Đen	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-WHT-XL	MLB	Nữ	Váy	XL	Trắng	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-BEI-XL	MLB	Nữ	Váy	XL	Be	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-DRESS-BLU-XL	MLB	Nữ	Váy	XL	Xanh	4200000	2100000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down,onerror=redirect/images/goods/ec/M26S3FSKB076350IVS/thnail/18BD1AD0D8C84EBC99A8837C7D2F07D1.png	1
MLB-WTS-BLK-S	MLB	Nữ	Áo thun	S	Đen	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-WHT-S	MLB	Nữ	Áo thun	S	Trắng	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-BEI-S	MLB	Nữ	Áo thun	S	Be	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-BLU-S	MLB	Nữ	Áo thun	S	Xanh	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-BLK-M	MLB	Nữ	Áo thun	M	Đen	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-WHT-M	MLB	Nữ	Áo thun	M	Trắng	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-BEI-M	MLB	Nữ	Áo thun	M	Be	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-BLU-M	MLB	Nữ	Áo thun	M	Xanh	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-BLK-L	MLB	Nữ	Áo thun	L	Đen	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-WHT-L	MLB	Nữ	Áo thun	L	Trắng	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-BEI-L	MLB	Nữ	Áo thun	L	Be	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-BLU-L	MLB	Nữ	Áo thun	L	Xanh	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-BLK-XL	MLB	Nữ	Áo thun	XL	Đen	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-WHT-XL	MLB	Nữ	Áo thun	XL	Trắng	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-BEI-XL	MLB	Nữ	Áo thun	XL	Be	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-WTS-BLU-XL	MLB	Nữ	Áo thun	XL	Xanh	2900000	1400000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=75,w=842,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M26S3FTSM096350BKS/thnail/3DAA7D6A8F0D4BD8915420711CE30427.png	1
MLB-MPANTS-BLK-S	MLB	Nam	Quần	S	Đen	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-WHT-S	MLB	Nam	Quần	S	Trắng	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-BEI-S	MLB	Nam	Quần	S	Be	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-BLU-S	MLB	Nam	Quần	S	Xanh	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-BLK-M	MLB	Nam	Quần	M	Đen	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-WHT-M	MLB	Nam	Quần	M	Trắng	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-BEI-M	MLB	Nam	Quần	M	Be	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-BLU-M	MLB	Nam	Quần	M	Xanh	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-BLK-L	MLB	Nam	Quần	L	Đen	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-WHT-L	MLB	Nam	Quần	L	Trắng	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-BEI-L	MLB	Nam	Quần	L	Be	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-BLU-L	MLB	Nam	Quần	L	Xanh	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-BLK-XL	MLB	Nam	Quần	XL	Đen	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-WHT-XL	MLB	Nam	Quần	XL	Trắng	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-BEI-XL	MLB	Nam	Quần	XL	Be	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
MLB-MPANTS-BLU-XL	MLB	Nam	Quần	XL	Xanh	3500000	1700000	3	0	https://static-resource.mlb-korea.com/cdn-cgi/image/q=100,w=3840,format=auto,fit=scale-down/onerror=redirect/images/goods/ec/M25F3AWPB045450BKS/thnail/08C4BB98D5FD4376863C51CE3F074A9A.png	1
OW-TEE-BLK-S	Off White	Nam	Áo thun	S	Đen	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-WHT-S	Off White	Nam	Áo thun	S	Trắng	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-BEI-S	Off White	Nam	Áo thun	S	Be	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-BLU-S	Off White	Nam	Áo thun	S	Xanh	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-BLK-M	Off White	Nam	Áo thun	M	Đen	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-WHT-M	Off White	Nam	Áo thun	M	Trắng	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-BEI-M	Off White	Nam	Áo thun	M	Be	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-BLU-M	Off White	Nam	Áo thun	M	Xanh	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-BLK-L	Off White	Nam	Áo thun	L	Đen	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-WHT-L	Off White	Nam	Áo thun	L	Trắng	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-BEI-L	Off White	Nam	Áo thun	L	Be	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-BLU-L	Off White	Nam	Áo thun	L	Xanh	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-BLK-XL	Off White	Nam	Áo thun	XL	Đen	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-WHT-XL	Off White	Nam	Áo thun	XL	Trắng	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-BEI-XL	Off White	Nam	Áo thun	XL	Be	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-TEE-BLU-XL	Off White	Nam	Áo thun	XL	Xanh	5900000	3000000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw2789d848/images/zoom/44MAA027S26J001_100_1.jpg	1
OW-PANTS-BLK-S	Off White	Nam	Quần	S	Đen	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-WHT-S	Off White	Nam	Quần	S	Trắng	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-BEI-S	Off White	Nam	Quần	S	Be	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-BLU-S	Off White	Nam	Quần	S	Xanh	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-BLK-M	Off White	Nam	Quần	M	Đen	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-WHT-M	Off White	Nam	Quần	M	Trắng	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-BEI-M	Off White	Nam	Quần	M	Be	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-BLU-M	Off White	Nam	Quần	M	Xanh	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-BLK-L	Off White	Nam	Quần	L	Đen	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-WHT-L	Off White	Nam	Quần	L	Trắng	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-BEI-L	Off White	Nam	Quần	L	Be	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-BLU-L	Off White	Nam	Quần	L	Xanh	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-BLK-XL	Off White	Nam	Quần	XL	Đen	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-WHT-XL	Off White	Nam	Quần	XL	Trắng	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-BEI-XL	Off White	Nam	Quần	XL	Be	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-PANTS-BLU-XL	Off White	Nam	Quần	XL	Xanh	6900000	3500000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw58268d34/images/zoom/44MCH05AS26F00B_001_1.jpg	1
OW-WTEE-BLK-S	Off White	Nữ	Áo thun	S	Đen	5200000	2600000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw57efe60f/images/zoom/2AA124S26JER007_W663_1.jpg	1
OW-WTEE-WHT-S	Off White	Nữ	Áo thun	S	Trắng	5200000	2600000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw57efe60f/images/zoom/2AA124S26JER007_W663_1.jpg	1
OW-WTEE-BEI-S	Off White	Nữ	Áo thun	S	Be	5200000	2600000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw57efe60f/images/zoom/2AA124S26JER007_W663_1.jpg	1
OW-WTEE-BLU-S	Off White	Nữ	Áo thun	S	Xanh	5200000	2600000	3	0	https://www.off---white.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-51/default/dw57efe60f/images/zoom/2AA124S26JER007_W663_1.jpg	1
